conseq	area-under-curve
transcript_ablation	9999.0	
non_coding_transcript_variant	9998.994	
protein_altering_variant	9998.900579162348	
stop_retained_variant	9998.898664199976	
splice_donor_variant	9998.86339149741	
start_lost	9998.812644717924	
splice_acceptor_variant	9998.807795950943	
mature_miRNA_variant	9998.79243860405	
stop_gained	9998.687488854655	
frameshift_variant	9998.442164816723	
stop_lost	9998.371827753825	
inframe_deletion	9996.946793633797	
regulatory_region_variant	9996.769524826876	
inframe_insertion	9995.464467633657	
missense_variant	9994.321002041064	
5_prime_UTR_variant	9992.813956965772	
intergenic_variant	9992.085920686906	
upstream_gene_variant	9990.411152853025	
3_prime_UTR_variant	9990.25437471602	
downstream_gene_variant	9990.046904647988	
non_coding_transcript_exon_variant	9989.319906803103	
intron_variant	9989.284866729831	
synonymous_variant	9986.969004249591	
coding_sequence_variant	9956.157495257074	
TF_binding_site_variant	No Curve	
