conseq	area-under-curve
upstream_gene_variant	999927.6036561339	
non_coding_transcript_exon_variant	999912.1324208471	
downstream_gene_variant	999907.405378572	
intron_variant	999449.6661082648	
splice_acceptor_variant	999995.9403779372	
synonymous_variant	999788.2312867364	
missense_variant	999911.3201505613	
stop_gained	999994.2863164018	
frameshift_variant	999992.9516265086	
inframe_deletion	999977.4469555384	
protein_altering_variant	999995.7923747051	
stop_lost	999994.9183414569	
3_prime_UTR_variant	999936.692701526	
mature_miRNA_variant	999995.8284465021	
inframe_insertion	999976.5093267043	
start_lost	999993.9190066692	
coding_sequence_variant	999995.2465189873	
splice_donor_variant	999994.6712899366	
stop_retained_variant	999993.6155592495	
5_prime_UTR_variant	999954.5612985877	
intergenic_variant	999991.9339260586	
regulatory_region_variant	999992.1303877088	
non_coding_transcript_variant	999998.50625	
transcript_ablation	No Curve	
TF_binding_site_variant	No Curve	
