conseq	area-under-curve
feature_truncation&3_prime_UTR_variant&intron_variant&NMD_transcript_variant	2503.0	
synonymous_variant&NMD_transcript_variant	2503.0	
splice_region_variant&synonymous_variant&NMD_transcript_variant	2503.0	
feature_truncation&3_prime_UTR_variant&intron_variant	2503.0	
stop_gained&NMD_transcript_variant	2503.0	
stop_lost&feature_truncation&coding_sequence_variant&3_prime_UTR_variant	2503.0	
start_lost&splice_region_variant	2503.0	
coding_sequence_variant&3_prime_UTR_variant&intron_variant	2502.5	
coding_sequence_variant&intron_variant	2502.5	
coding_transcript_variant	2502.5	
3_prime_UTR_variant&intron_variant&NMD_transcript_variant	2502.5	
splice_donor_5th_base_variant&non_coding_transcript_exon_variant	2502.5	
splice_donor_variant&splice_polypyrimidine_tract_variant&non_coding_transcript_variant	2501.5	
splice_donor_variant&splice_donor_5th_base_variant&intron_variant	2501.5	
splice_donor_variant&coding_sequence_variant	2501.5	
transcript_amplification	2500.9443	
feature_truncation&3_prime_UTR_variant	2500.625	
inframe_deletion&splice_region_variant	2500.5	
splice_donor_region_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	2500.5	
feature_truncation&coding_sequence_variant&5_prime_UTR_variant&intron_variant	2500.25	
splice_region_variant&3_prime_UTR_variant&NMD_transcript_variant	2500.2144	
splice_donor_variant&splice_donor_region_variant&non_coding_transcript_exon_variant&intron_variant	2499.5	
coding_sequence_variant&3_prime_UTR_variant	2499.5	
splice_donor_variant&NMD_transcript_variant	2499.5	
5_prime_UTR_variant&NMD_transcript_variant	2499.4614	
splice_donor_variant&splice_donor_5th_base_variant&non_coding_transcript_exon_variant&intron_variant	2499.1667	
splice_acceptor_variant&coding_sequence_variant	2498.5	
splice_acceptor_variant&coding_sequence_variant&intron_variant	2498.5	
feature_truncation&5_prime_UTR_variant&intron_variant	2498.5	
stop_gained&splice_region_variant	2498.1943	
splice_acceptor_variant&non_coding_transcript_exon_variant&intron_variant	2497.5	
feature_elongation&3_prime_UTR_variant&intron_variant	2497.5	
frameshift_variant&start_lost	2497.5	
feature_elongation&3_prime_UTR_variant	2495.75	
feature_truncation&coding_sequence_variant&intron_variant	2494.9585	
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant	2494.5	
splice_donor_variant&non_coding_transcript_exon_variant	2492.5	
stop_gained&frameshift_variant	2492.0	
splice_donor_5th_base_variant&intron_variant&NMD_transcript_variant	2491.9	
splice_acceptor_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	2491.5	
inframe_insertion&splice_region_variant	2486.5	
stop_gained&inframe_deletion	2483.5	
splice_donor_variant&5_prime_UTR_variant	2478.5	
feature_elongation&coding_sequence_variant&3_prime_UTR_variant&intron_variant	2474.75	
start_lost	2472.1885	
stop_lost&feature_truncation&coding_sequence_variant&3_prime_UTR_variant&intron_variant	2471.6	
splice_acceptor_variant	2466.837	
stop_gained	2464.5815	
splice_donor_variant	2462.9456	
frameshift_variant&feature_truncation	2454.5	
missense_variant&splice_region_variant	2454.0027	
splice_donor_region_variant&intron_variant	2452.1494	
feature_elongation&coding_sequence_variant	2447.5	
feature_truncation&5_prime_UTR_variant	2446.5	
non_coding_transcript_exon_variant&intron_variant	2445.8699	
coding_sequence_variant&5_prime_UTR_variant	2443.5	
frameshift_variant&splice_region_variant	2442.8335	
feature_truncation&non_coding_transcript_exon_variant&intron_variant	2438.3784	
feature_elongation&coding_sequence_variant&intron_variant	2437.1755	
splice_donor_5th_base_variant&intron_variant	2436.8037	
missense_variant&NMD_transcript_variant	2432.3315	
missense_variant	2431.3428	
splice_region_variant&synonymous_variant	2418.4688	
splice_region_variant&5_prime_UTR_variant	2416.819	
synonymous_variant	2406.257	
splice_acceptor_variant&non_coding_transcript_variant	2397.7808	
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant	2397.303	
stop_lost&splice_region_variant	2394.75	
stop_retained_variant	2393.4292	
feature_elongation&non_coding_transcript_exon_variant	2392.491	
splice_region_variant&intron_variant	2392.4614	
splice_region_variant&3_prime_UTR_variant	2392.4448	
3_prime_UTR_variant	2389.8738	
transcript_ablation	2388.1243	
splice_polypyrimidine_tract_variant&intron_variant	2385.658	
splice_region_variant&non_coding_transcript_exon_variant	2384.823	
non_coding_transcript_exon_variant	2381.0637	
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	2378.9082	
feature_truncation&non_coding_transcript_exon_variant	2375.2183	
splice_region_variant&intron_variant&non_coding_transcript_variant	2371.9626	
5_prime_UTR_variant	2370.7883	
intron_variant	2369.6392	
intron_variant&non_coding_transcript_variant	2368.889	
intron_variant&NMD_transcript_variant	2368.0723	
intergenic_variant	2366.3281	
downstream_gene_variant	2364.162	
feature_elongation&non_coding_transcript_exon_variant&intron_variant	2363.583	
inframe_deletion	2362.4563	
upstream_gene_variant	2362.0366	
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	2358.5764	
3_prime_UTR_variant&NMD_transcript_variant	2352.898	
splice_donor_region_variant&non_coding_transcript_exon_variant	2349.9136	
splice_donor_variant&non_coding_transcript_variant	2346.2104	
mature_miRNA_variant	2342.7292	
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	2336.8293	
frameshift_variant	2323.4812	
