conseq	area-under-curve
coding_transcript_variant	5006.5	
transcript_amplification	5004.9443	
stop_gained	4995.8364	
splice_acceptor_variant	4989.7085	
stop_retained_variant	4984.175	
splice_donor_variant	4978.4053	
missense_variant	4961.021	
synonymous_variant	4942.497	
stop_lost	4910.7266	
start_lost	4893.463	
transcript_ablation	4892.124	
3_prime_UTR_variant	4880.2114	
5_prime_UTR_variant	4872.1	
non_coding_transcript_exon_variant	4848.927	
inframe_deletion	4847.864	
intron_variant	4841.434	
intergenic_variant	4825.4834	
downstream_gene_variant	4824.662	
mature_miRNA_variant	4822.8857	
upstream_gene_variant	4822.161	
frameshift_variant	4710.4814	
non_coding_transcript_variant	4676.2817	
inframe_insertion	4316.302	
