conseq	area-under-curve
upstream_gene_variant	999927.6036561339	
non_coding_transcript_exon_variant	999912.1324208471	
splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	999992.6509286332	
intron_variant&non_coding_transcript_variant	999945.6084725905	
splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	999983.9930129969	
splice_acceptor_variant&non_coding_transcript_variant	999995.9538895974	
splice_region_variant&non_coding_transcript_exon_variant	999989.2542074322	
splice_region_variant&intron_variant&non_coding_transcript_variant	999992.9374763805	
splice_polypyrimidine_tract_variant&splice_region_variant&intron_variant&non_coding_transcript_variant	999989.8672219346	
splice_donor_variant&non_coding_transcript_variant	999993.1859010563	
splice_donor_region_variant&intron_variant&non_coding_transcript_variant	999990.4659747242	
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	999990.1852419986	
downstream_gene_variant	999907.405378572	
